artiste,element,genre,style,source,stream,date,spotify,cover,discogs,etat,match,titleDiscogs
"Solefald","World Metal. Kosmopolis Sud","Electronic, Metal","Black Metal, Post-Metal, Avantgarde","https://www.coreandco.fr/chroniques/solefald-world-metal-kosmopolis-sud-4883.html","","2020-01-20","spotify:album:6QIMK7HJh8RffqsYslmKVS","https://img.discogs.com/RZ3wVYCDcUxDDs0nAyK0pZjm0Oo=/fit-in/600x540/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-6601409-1428558944-8130.jpeg.jpg","https://www.discogs.com//Solefald-World-Metal-Kosmopolis-Sud/master/798990","3","1.0","Solefald - World Metal. Kosmopolis Sud"
"Leon Vynehall","Rojus (Designed To Dance)","Electronic","Deep House, House, Downtempo","https://www.discogs.com/Leon-Vynehall-Rojus-Designed-To-Dance/release/8309467","","2020-01-20","spotify:album:31IWopx1L2z3GSoOArzCTb","https://img.discogs.com/zHPKWMLfcWhW0kPhBxbI5hzlUYY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-8339171-1465040476-3402.jpeg.jpg","https://www.discogs.com//Leon-Vynehall-Rojus-Designed-To-Dance/master/981360","3","1.0","Leon Vynehall - Rojus (Designed To Dance)"
"IKARUS","Mosaismic","Jazz","Contemporary Jazz","","https://roninrhythmrecords.bandcamp.com/album/mosaismic","","spotify:album:5mV7SxyBEXZZRIGsCP2OpK","https://img.discogs.com/kAYi_sVsO90u9ZmP1AstAIEEzJw=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-17988466-1616593754-2635.jpeg.jpg","https://www.discogs.com//Ikarus-Mosaismic/release/17988466","3","0.8780487804878049","Ikarus (10) - Mosaismic"
"Nostrum Grocers","Nostrum Grocers","Hip Hop","","","https://nostrumgrocers.bandcamp.com/releases","","spotify:album:3DlnTOlkj5THEm95LEZmfx","https://img.discogs.com/5lUxbRDv4ka4lJt1Ui2PqSQlx5o=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-16042370-1602412022-4421.jpeg.jpg","https://www.discogs.com//Nostrum-Grocers-Nostrum-Grocers/master/1627511","3","1.0","Nostrum Grocers - Nostrum Grocers"
"Horatio Luna","Yes Doctor","Electronic, Reggae, Jazz","Dub, House, Broken Beat","https://horatioluna.bandcamp.com/album/yes-doctor","https://horatioluna.bandcamp.com/album/yes-doctor","2020-06-25","spotify:album:0mTbBt5wRB1VKbMXh9wsTV","https://img.discogs.com/Zvgfi3MfmSFGRNRhZ8EuaHlmSMM=/fit-in/600x595/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-14834919-1582493082-3232.jpeg.jpg","https://www.discogs.com//Horatio-Luna-Yes-Doctor/release/14834919","3","1.0","Horatio Luna - Yes Doctor"
"BEATEN TO DEATH","Agronomicon","Metal","Grindcore","","https://beatentodeath.bandcamp.com/album/agronomicon","","spotify:album:2L9Wg3vZzo0fmf8yQoT2J1","https://img.discogs.com/_kHX2SrCASzqhX1NJwrY6V0uCS8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12960826-1545388577-2508.jpeg.jpg","https://www.discogs.com//Beaten-To-Death-Agronomicon/master/1479445","3","1.0","Beaten To Death - Agronomicon"
"Dodsferd","Diseased Remnants of a Dying World","Metal","Black Metal","https://www.thrashocore.com/chroniques/chronique/8277-dodsferd-diseased-remnants-of-a-dying-world-2018-chronique.html","","2020-01-20","spotify:album:4tMZCBOIob7EbirPOHatJm","https://img.discogs.com/daKUwXdqlKZmMdVKanzpzRMfiyY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-19245352-1624447052-2413.jpeg.jpg","https://www.discogs.com//D%C3%B8dsferd-Diseased-Remnants-%CE%9Ff-Dying-World/release/13791344","3","0.9230769230769231","Dødsferd* - Diseased Remnants Οf Α Dying World"
"Morpheus Tales","II","Metal","Black Metal, Progressive Metal, Avantgarde","https://www.coreandco.fr/chroniques/morpheus-tales-ii-6306.html","https://morpheustales.bandcamp.com/","","","https://img.discogs.com/CleeTpomgBPYuGHbZU8Ht4dYems=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11385766-1515364365-5927.jpeg.jpg","https://www.discogs.com//Morpheus-Tales-II/master/1295003","3","1.0","Morpheus Tales - II"
"Hemlock Ernst and Kenny Segal","Back at the House","Hip Hop","","https://kennysegal.bandcamp.com/album/back-at-the-house","https://kennysegal.bandcamp.com/album/back-at-the-house","2020-01-20","","https://img.discogs.com/oVcFVJF40kfLwsab92h6QCEYp8I=/fit-in/600x607/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-15526345-1593021440-9090.jpeg.jpg","https://www.discogs.com//Hemlock-Ernst-Kenny-Segal-Back-At-The-House/release/15526345","3","0.9583333333333334","Hemlock Ernst & Kenny Segal - Back At The House"
"Snazzback","Hedge","Jazz#TODO","Prog Afrobeat#TODO","","https://snazzback.bandcamp.com/album/hedge","","spotify:album:4M6RgPys0vryxTf9jmUASY","","","3","0",""
